run_id,count,improve_n,worse_n,0504_plus_candidate_oracle_mean,base_mean_on_improved,cand_mean_on_improved
20260508T212422_340317/20260508-full240-neh-cp-adaptive-no-lns-2nc,5,1,1,0.0922964653816071,0.0354798651765123,0.0
20260509T233100_918007/20260510-01,4,1,0,0.0922964653816071,0.0354798651765123,0.0
20260510T010753_769583/20260510-01,5,1,0,0.0922964653816071,0.0354798651765123,0.0
20260510T023026_303585/20260510-01,5,1,0,0.0922964653816071,0.0354798651765123,0.0
20260511T204938_803523/20260511-resume9-first-neh-original-vs-precp-lane-pilot59-2nc,5,1,3,0.0922964653816071,0.0354798651765123,0.0
20260511T212210_629321/20260511-full240-first-neh-original-vs-precp-lane-2nc,6,1,1,0.0922964653816071,0.0354798651765123,0.0
20260512T104948_656213/20260512-delayonly,1,1,0,0.0922964653816071,0.0354798651765123,0.0
20260513T104747_487472/20260514-1,5,1,0,0.0922964653816071,0.0354798651765123,0.0
20260513T110015_328680/20260514-1,4,1,0,0.0922964653816071,0.0354798651765123,0.0
20260513T125645_958468/20260514-1,5,1,0,0.0922964653816071,0.0354798651765123,0.0
20260513T130959_556517/20260514-1,4,1,0,0.0922964653816071,0.0354798651765123,0.0
20260513T133333_648767/20260514-1,4,1,0,0.0922964653816071,0.0354798651765123,0.0
20260513T135702_757196/20260514-1,5,1,0,0.0922964653816071,0.0354798651765123,0.0
20260507T123605_775359/20260507-full-light-reserve075nc-120x15-holdout-2nc,3,1,1,0.09231627326320482,-0.9478672985781992,-0.9785932721712538
20260423T220805_844978/20260423-01-bneck-band-r2-t005-plus-combo,4,0,0,0.0924442981531759,,
20260423T223949_795625/20260423-01-bneck-band-r2-t005-plus-combo,3,0,0,0.0924442981531759,,
20260423T224543_993686/20260423-01-bneck-band-r2-t005-plus-combo,4,0,0,0.0924442981531759,,
20260424T024029_273778/20260423-02-2nc,4,0,0,0.0924442981531759,,
20260426T143314_938246/20260426-01,18,0,8,0.0924442981531759,,
20260426T192724_169902/20260426-01,3,0,0,0.0924442981531759,,
20260426T202435_247978/20260426-01,4,0,0,0.0924442981531759,,
20260426T204652_791115/20260426-01,4,0,0,0.0924442981531759,,
20260426T211147_217162/20260426-01,4,0,0,0.0924442981531759,,
20260426T214028_836245/20260426-01,4,0,0,0.0924442981531759,,
20260427T195959_704746/20260427-1,11,0,7,0.0924442981531759,,
20260502T161333_877706/20260502-01,4,0,1,0.0924442981531759,,
20260503T093814_179102/20260502-01,4,0,2,0.0924442981531759,,
20260503T094621_969915/20260502-01,10,0,5,0.0924442981531759,,
