insName,jobCount,stageCount,best_prefix_obj,first_best_source,last_best_source,strict_last_improvement_source,init_dispatch,tau,post_dispatch1,post_dispatch2
156,120,20,3100.0,post_dispatch2,post_dispatch2,post_dispatch2,3128.0,3128.0,3126.0,3100.0
159,160,15,4296.0,post_dispatch2,post_dispatch2,post_dispatch2,4378.0,4378.0,4332.0,4296.0
172,40,20,1714.0,post_dispatch1,post_dispatch2,post_dispatch1,1796.0,1718.0,1714.0,1714.0
160,160,20,3860.0,post_dispatch1,post_dispatch2,post_dispatch1,3872.0,3872.0,3860.0,3860.0
198,80,10,1707.0,post_dispatch2,post_dispatch2,post_dispatch2,1778.0,1760.0,1722.0,1707.0
140,200,20,4582.0,post_dispatch1,post_dispatch2,post_dispatch1,4623.0,4600.0,4582.0,4582.0
176,80,20,2480.0,post_dispatch1,post_dispatch2,post_dispatch1,2518.0,2483.0,2480.0,2480.0
218,40,10,1403.0,post_dispatch1,post_dispatch2,post_dispatch1,1457.0,1404.0,1403.0,1403.0
220,40,20,1618.0,post_dispatch1,post_dispatch2,post_dispatch1,1711.0,1627.0,1618.0,1618.0
164,200,20,4437.0,post_dispatch1,post_dispatch2,post_dispatch1,4494.0,4492.0,4437.0,4437.0
200,80,20,2451.0,post_dispatch1,post_dispatch2,post_dispatch1,2509.0,2455.0,2451.0,2451.0
